,book title,ratings,avg_score,author,score,votes
47,"A Kingdom of Dreams (Westmoreland, #1)","51,483",4.21,Judith McNaught,"19,338,",210
48,"Matched (Matched, #1)","743,697",3.63,Ally Condie,"19,262,",206
49,"The Vincent Boys (The Vincent Boys, #1)","73,787",3.95,Abbi Glines,"18,677,",206
50,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)","190,832",3.80,Kody Keplinger,"18,243,",197
51,Romeo and Juliet,"2,441,031",3.74,William Shakespeare,"18,036,",194
52,Just the Sexiest Man Alive,"44,358",3.92,Julie James,"18,001,",204
53,"Something About You (FBI/US Attorney, #1)","60,693",3.94,Julie James,"17,897,",197
54,"The Bride (Lairds' Fiancées, #1)","63,432",4.23,Julie Garwood,"17,328,",188
55,Along for the Ride,"202,151",4.04,Sarah Dessen,"17,250,",188
56,"The Summer I Turned Pretty (Summer, #1)","476,945",3.82,Jenny Han,"16,899,",183
57,"Mystery Man (Dream Man, #1)","70,468",4.21,Kristen Ashley,"16,634,",183
58,"Call Me Irresistible (Wynette, Texas, #6)","23,390",4.10,Susan Elizabeth Phillips,"16,632,",183
59,"Significance (Significance, #1)","44,618",4.09,Shelly Crane,"16,462,",179
60,Bet Me,"90,938",3.93,Jennifer Crusie,"15,983,",183
61,"Breathe (Sea Breeze, #1)","82,510",3.85,Abbi Glines,"15,534,",176
62,Forbidden,"68,877",3.99,Tabitha Suzuma,"15,071,",166
63,"Lover Eternal (Black Dagger Brotherhood, #2)","186,985",4.33,J.R. Ward,"14,979,",180
64,"Natural Born Charmer (Chicago Stars, #7)","35,318",4.15,Susan Elizabeth Phillips,"14,635,",173
65,"Shatter Me (Shatter Me, #1)","610,169",3.90,Tahereh Mafi,"14,620,",161
66,Can You Keep a Secret?,"423,012",3.84,Sophie Kinsella,"14,336,",165
67,"Naked in Death (In Death, #1)","183,619",4.13,J.D. Robb,"14,298,",155
68,"The Gamble (Colorado Mountain, #1)","57,860",4.26,Kristen Ashley,"14,242,",157
69,"Sugar Daddy (Travises, #1)","42,936",4.01,Lisa Kleypas,"14,211,",160
70,The Sweet Gum Tree,"29,626",4.27,Katherine Allred,"14,173,",160
71,The Thorn Birds,"339,163",4.24,Colleen McCullough,"13,702,",157
72,"Wallbanger (Cocktail, #1)",avg,really,Alice Clayton,"13,646,",161
73,Going Too Far,"38,364",3.92,Jennifer Echols,"13,625,",149
74,"This Heart of Mine (Chicago Stars, #5)","31,055",4.09,Susan Elizabeth Phillips,"13,513,",164
75,Ain't She Sweet?,"23,897",4.08,Susan Elizabeth Phillips,"13,298,",156
76,"Bridget Jones's Diary (Bridget Jones, #1)","948,000",3.80,Helen Fielding,"13,073,",147
77,"Me Before You (Me Before You, #1)","1,488,909",4.26,Jojo Moyes,"12,954,",148
78,"Playing for Keeps (Neighbor from Hell, #1)","112,163",4.03,R.L. Mathewson,"12,775,",148
79,Catching Jordan,"62,064",3.84,Miranda Kenneally,"12,723,",140
80,"Wait for You (Wait for You, #1)","155,426",4.15,Jennifer L. Armentrout,"12,299,",143
81,"Pushing the Limits (Pushing the Limits, #1)","121,002",4.05,Katie McGarry,"12,174,",149
82,"Rock Chick (Rock Chick, #1)","56,515",4.17,Kristen Ashley,"11,782,",132
83,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","169,978",4.16,Abbi Glines,"11,406,",131
84,"Existence (Existence, #1)","61,255",3.93,Abbi Glines,"11,185,",128
85,"Nobody's Baby But Mine (Chicago Stars, #3)","40,216",4.04,Susan Elizabeth Phillips,"10,666,",136
86,Forget You,"26,461",3.78,Jennifer Echols,"10,517,",114
87,"Lover Unbound (Black Dagger Brotherhood, #5)","130,386",4.32,J.R. Ward,"10,432,",134
88,The Sky Is Everywhere,"102,706",3.97,Jandy Nelson,"10,307,",113
89,"Forever Mine (The Moreno Brothers, #1)","23,104",3.87,Elizabeth Reyes,"10,283,",115
90,"Devil in Winter (Wallflowers, #3)","79,859",4.23,Lisa Kleypas,"10,229,",118
91,Practice Makes Perfect,"31,197",3.96,Julie James,"10,209,",117
92,"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)","36,300",4.05,Jennifer Ashley,"10,194,",121
93,North and South,"161,129",4.15,Elizabeth Gaskell,"10,110,",120
94,"Fallen (Fallen, #1)","561,250",3.72,Lauren Kate,"10,000,",115
95,"The Darkest Night (Lords of the Underworld, #1)","82,594",4.05,Gena Showalter,"9,907,",110
96,"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)","73,979",3.86,Kirsty Moseley,"9,889,",112
97,"Delirium (Delirium, #1)","454,734",3.96,Lauren Oliver,"9,837,",110
98,Lock and Key,avg,really,Sarah Dessen,"9,825,",112
99,"The Perfect Play (Play by Play, #1)","38,979",3.89,Jaci Burton,"9,762,",109
100,"Hex Hall (Hex Hall, #1)","139,683",3.93,Rachel Hawkins,"9,198,",105
101,"That Boy (That Boy, #1)","41,852",3.94,Jillian Dodd,"9,134,",101
102,"Match Me If You Can (Chicago Stars, #6)","45,625",4.12,Susan Elizabeth Phillips,"8,981,",113
103,Heart on a Chain,"17,168",4.03,Cindy C. Bennett,"8,907,",97
104,Archer's Voice,"244,196",4.31,Mia Sheridan,"8,907,",108
105,"Slave to Sensation (Psy-Changeling, #1)","70,999",4.09,Nalini Singh,"8,843,",100
106,"Goddess of Light (Goddess Summoning, #3)","7,354",4.03,P.C. Cast,"8,673,",105
107,"Paradise (Second Opportunities, #1)","33,540",4.30,Judith McNaught,"8,662,",102
108,Honey Moon,"7,522",3.86,Susan Elizabeth Phillips,"8,558,",108
109,"Pleasure Unbound (Demonica, #1)","52,998",4.04,Larissa Ione,"8,392,",97
110,Redeeming Love,"287,032",4.50,Francine Rivers,"8,341,",102
111,"Cross My Heart (Cross My Heart, #1)","18,664",3.91,Katie Klein,"8,091,",90
112,"Heaven, Texas (Chicago Stars, #2)","33,285",4.05,Susan Elizabeth Phillips,"7,828,",107
113,"Something Wonderful (Sequels, #2)","28,759",4.31,Judith McNaught,"7,709,",95
114,"A Knight in Shining Armor (Montgomery/Taggert Family, #13)","35,691",4.20,Jude Deveraux,"7,640,",86
115,"Backstage Pass (Sinners on Tour, #1)",avg,really,Olivia Cunning,"7,579,",89
116,Mr. Perfect,"34,500",4.06,Linda Howard,"7,536,",87
117,Trust in Advertising,"11,843",3.89,Victoria Michaels,"7,424,",84
118,"Rules of Protection (Tangled in Texas, #1)","7,476",3.84,Alison Bliss,"7,406,",90
119,Little Women,"2,056,936",4.13,Louisa May Alcott,"7,010,",89
120,"Taking Shots (Assassins, #1)","22,831",3.91,Toni Aleo,"6,920,",78
121,"Vision in White (Bride Quartet, #1)","135,357",4.12,Nora Roberts,"6,787,",83
122,"Vain (The Seven Deadly, #1)","30,308",4.22,Fisher Amelie,"6,666,",91
123,Perfect You,"21,978",3.70,Elizabeth Scott,"6,589,",89
124,"Lady Be Good (Wynette, Texas, #2)","17,442",3.99,Susan Elizabeth Phillips,"6,460,",98
125,"Dream a Little Dream (Chicago Stars, #4)","33,690",4.17,Susan Elizabeth Phillips,"6,390,",95
126,The Bridges of Madison County,"91,016",3.67,Robert James Waller,"6,384,",87
127,"Almost Heaven (Sequels, #3)","27,305",4.34,Judith McNaught,"6,377,",84
128,"Perfect (Second Opportunities, #2)","23,688",4.30,Judith McNaught,"6,360,",79
129,"The Deal (Off-Campus, #1)","509,582",4.26,Elle Kennedy,"6,214,",88
130,"P.S. I Love You (P.S. I Love You, #1)","369,943",4.03,Cecelia Ahern,"6,188,",80
131,"A Discovery of Witches (All Souls, #1)","456,044",4.02,Deborah Harkness,"6,187,",70
132,"The Coincidence of Callie & Kayden (The Coincidence, #1)","114,931",4.17,Jessica Sorensen,"6,149,",76
133,Ugly Love,"1,224,471",4.15,Colleen Hoover,"6,147,",74
134,"Secrets of a Summer Night (Wallflowers, #1)","70,260",4.03,Lisa Kleypas,"6,020,",74
135,"The Secret (Highlands' Lairds, #1)","50,478",4.25,Julie Garwood,"5,979,",74
136,Cry No More,"14,864",4.14,Linda Howard,"5,957,",85
137,"Lover Mine (Black Dagger Brotherhood, #8)","110,051",4.39,J.R. Ward,"5,889,",71
138,"Smooth Talking Stranger (Travises, #3)","39,669",4.14,Lisa Kleypas,"5,853,",79
139,"Jewels of the Sun (Gallaghers of Ardmore, #1)","63,585",4.22,Nora Roberts,"5,827,",73
140,"Unleashed (Ross Siblings, #1)","31,205",3.87,Cherrie Lynn,"5,779,",69
141,"Lord of Scoundrels (Scoundrels, #3)","34,690",4.09,Loretta Chase,"5,761,",75
142,"The Marriage Bargain (Marriage to a Billionaire, #1)","109,768",3.80,Jennifer Probst,"5,642,",72
143,"Romancing Mister Bridgerton (Bridgertons, #4)","211,746",3.95,Julia Quinn,"5,497,",67
144,Flowers from the Storm,"15,182",4.08,Laura Kinsale,"5,482,",66
145,"Lover Avenged (Black Dagger Brotherhood, #7)","112,430",4.36,J.R. Ward,"5,477,",85
146,"The Mighty Storm (The Storm, #1)","72,565",4.16,Samantha Towle,"5,444,",66
147,"Kissed by an Angel/The Power of Love/Soulmates (Kissed by an Angel, #1-3)","26,268",4.08,Elizabeth Chandler,"5,393,",61
148,"Blue-Eyed Devil (Travises, #2)","36,373",4.19,Lisa Kleypas,"5,329,",69
149,"Seduce Me at Sunrise (The Hathaways, #2)","40,734",4.06,Lisa Kleypas,"5,315,",66
150,"Firelight (Firelight, #1)","67,195",3.85,Sophie Jordan,"5,267,",60
151,Dreams Come True,260,4.19,Bridgitte Lesley,"5,267,",53
152,After Forever Ends,"1,518",4.04,Melodie Ramone,"5,196,",52
153,"Virgin River (Virgin River, #1)","64,798",4.02,Robyn Carr,"5,098,",63
154,Stardust,"421,133",4.10,Neil Gaiman,"5,072,",64
155,Rebecca,"574,545",4.24,Daphne du Maurier,"5,069,",60
156,Northanger Abbey,"367,558",3.84,Jane Austen,"5,059,",61
157,"The Duke and I (Bridgertons, #1)","393,020",3.82,Julia Quinn,"4,986,",66
158,"Ransom (Highlands' Lairds, #2)","34,271",4.33,Julie Garwood,"4,967,",61
159,Safe Haven,"368,406",4.21,Nicholas Sparks,"4,873,",78
160,"Dance Upon the Air (Three Sisters Island, #1)","68,834",4.20,Nora Roberts,"4,863,",60
161,"Tangled (Tangled, #1)","115,642",4.05,Emma Chase,"4,855,",71
162,Like Water for Chocolate,"351,882",3.95,Laura Esquivel,"4,851,",67
163,"It Happened One Autumn (Wallflowers, #2)","59,788",4.12,Lisa Kleypas,"4,833,",62
164,"Bloodlines (Bloodlines, #1)","181,340",4.20,Richelle Mead,"4,831,",57
165,I've Got Your Number,"218,093",3.94,Sophie Kinsella,"4,801,",59
166,Honor's Splendour,"31,563",4.23,Julie Garwood,"4,797,",70
167,"Darkfever (Fever, #1)","174,521",4.06,Karen Marie Moning,"4,782,",57
168,"Extreme Exposure (I-Team, #1)","14,326",3.91,Pamela Clare,"4,767,",53
169,"Fantasy Lover (Hunter Legends, #1)","90,863",4.15,Sherrilyn Kenyon,"4,715,",65
170,Love Auction: Too Risky to Love Again,"2,668",4.32,Sharon Carter,"4,666,",53
171,"Lover Revealed (Black Dagger Brotherhood, #4)","132,534",4.29,J.R. Ward,"4,633,",73
172,"All The Wrong Reasons (Wrong Reasons, #1)","8,676",3.81,J.L. Paul,"4,611,",54
173,"The Selection (The Selection, #1)","1,376,392",4.09,Kiera Cass,"4,601,",56
174,Morning Glory,"14,016",4.27,LaVyrle Spencer,"4,533,",59
175,"Mackenzie's Mountain (Mackenzie Family, #1)","17,411",4.16,Linda Howard,"4,395,",50
176,"Captive in the Dark (The Dark Duet, #1)","70,512",3.95,C.J. Roberts,"4,354,",49
177,"The Wedding (Lairds' Fiancées, #2)","33,956",4.17,Julie Garwood,"4,337,",56
178,Montana Sky,"46,861",4.09,Nora Roberts,"4,287,",49
179,Annie's Song,"16,117",4.17,Catherine Anderson,"4,285,",65
180,"The Secret of Ella and Micha (The Secret, #1)","70,468",3.99,Jessica Sorensen,"4,279,",51
181,"Again the Magic (Wallflowers, #0)","39,725",4.05,Lisa Kleypas,"4,253,",56
182,"First Lady (Wynette, Texas, #4)","12,419",3.99,Susan Elizabeth Phillips,"4,252,",76
183,The Sea of Tranquility,"84,549",4.29,Katja Millay,"4,228,",51
184,The Phantom of the Opera,"225,671",3.96,Gaston Leroux,"4,188,",71
185,"Perfection (Neighbor from Hell, #2)","64,562",4.13,R.L. Mathewson,"4,169,",53
186,One Day,"313,090",3.81,David Nicholls,"4,098,",46
187,"Some Girls Bite (Chicagoland Vampires, #1)","63,017",3.99,Chloe Neill,"4,077,",46
188,"Real (Real, #1)","109,068",4.15,Katy Evans,"4,074,",50
189,"Tears of the Moon (Gallaghers of Ardmore, #2)","33,489",4.19,Nora Roberts,"4,040,",65
190,"Love in the Afternoon (The Hathaways, #5)","45,617",4.20,Lisa Kleypas,"3,942,",57
191,"Nine Rules to Break When Romancing a Rake (Love By Numbers, #1)","51,080",4.08,Sarah MacLean,"3,878,",55
192,"Scandal in Spring (Wallflowers, #4)","49,895",4.03,Lisa Kleypas,"3,874,",53
193,"Taking Chances (Taking Chances, #1)","46,372",3.85,Molly McAdams,"3,829,",45
194,"In Flight (Up in the Air, #1)","77,068",4.07,R.K. Lilley,"3,803,",47
195,Not All You Need is Love,173,4.54,Daniela R. Morassutti,"3,800,",38
196,"If I Stay (If I Stay, #1)","849,263",3.93,Gayle Forman,"3,756,",46
197,The Wolf and the Dove,"18,913",4.13,Kathleen E. Woodiwiss,"3,720,",43
198,"The Next Always (Inn BoonsBoro Trilogy, #1)","80,786",4.12,Nora Roberts,"3,652,",44
199,"Motorcycle Man (Dream Man, #4)","55,831",4.39,Kristen Ashley,"3,640,",47
200,Dear John,"583,109",4.04,Nicholas Sparks,"3,629,",41
201,"Lothaire (Immortals After Dark, #11)","45,232",4.38,Kresley Cole,"3,622,",48
202,"Kiss of the Highlander (Highlander, #4)","41,878",4.30,Karen Marie Moning,"3,579,",50
203,"The Opportunist (Love Me with Lies, #1)","51,804",4.19,Tarryn Fisher,"3,552,",49
204,"In Bed with a Highlander (McCabe Trilogy, #1)","33,745",3.98,Maya Banks,"3,526,",45
205,"Leave Me Breathless (Ross Siblings, #3)","33,182",4.24,Cherrie Lynn,"3,522,",61
206,"Love Story (Love Story, #1)","58,340",3.64,Erich Segal,"3,520,",40
207,Atonement,"493,701",3.93,Ian McEwan,"3,502,",41
208,"Lover Awakened (Black Dagger Brotherhood, #3)","174,728",4.44,J.R. Ward,"3,469,",53
209,"Kiss of Snow (Psy-Changeling, #10)","30,493",4.45,Nalini Singh,"3,433,",55
210,"Love on the Line 2 (Women at Work, #2)","6,776",4.30,Kirsten Fullmer,"3,397,",40
211,The Last Song,"541,166",4.16,Nicholas Sparks,"3,392,",54
212,After the Night,"24,884",4.07,Linda Howard,"3,335,",42
213,"Dreaming of You (The Gamblers of Craven's, #2)","41,566",4.18,Lisa Kleypas,"3,322,",51
214,"Savor the Moment (Bride Quartet, #3)","56,004",4.14,Nora Roberts,"3,282,",39
215,"The Darkest Surrender  (Lords of the Underworld, #8)","31,935",4.38,Gena Showalter,"3,279,",57
216,Kulti,"106,568",4.30,Mariana Zapata,"3,274,",50
217,"Rock and a Hard Place (The Jamieson Collection, #1)","9,960",3.78,Angie Stanton,"3,263,",38
218,Boycotts & Barflies,"8,708",3.90,Victoria Michaels,"3,240,",37
219,Confess,"348,128",4.17,Colleen Hoover,"3,185,",40
220,The Princess Bride,"864,037",4.26,William Goldman,"3,161,",45
221,The Hating Game,"595,599",3.95,Sally  Thorne,"3,155,",42
222,Dream Man,"18,957",4.04,Linda Howard,"3,126,",41
223,"This Man (This Man, #1)","110,237",4.07,Jodi Ellen Malpas,"3,110,",38
224,"The Darkest Passion (Lords of the Underworld, #5)","41,103",4.34,Gena Showalter,"3,097,",37
225,"Prince of Wolves (The Grey Wolves, #1)","38,027",4.03,Quinn Loftis,"3,093,",36
226,"Beautiful Bastard (Beautiful Bastard, #1)","193,789",3.95,Christina Lauren,"3,080,",43
227,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)","143,192",4.02,Laurell K. Hamilton,"3,051,",35
228,"Happy Ever After (Bride Quartet, #4)","57,688",4.18,Nora Roberts,"3,041,",37
229,"Rock Chick Reckoning (Rock Chick, #6)","30,531",4.41,Kristen Ashley,"3,032,",37
230,"Rule (Marked Men, #1)","98,177",4.12,Jay Crownover,"3,024,",40
231,"A Week to Be Wicked (Spindle Cove, #2)","32,174",4.11,Tessa Dare,"2,984,",47
232,"Sweet Dreams (Colorado Mountain, #2)","47,564",4.38,Kristen Ashley,"2,965,",37
233,"Mine Till Midnight (The Hathaways, #1)","70,955",4.07,Lisa Kleypas,"2,961,",43
234,"The Law of Attraction (Lawyers in Love, #1)","11,399",3.76,N.M. Silber,"2,950,",31
235,The Lucky One,"351,542",4.12,Nicholas Sparks,"2,941,",41
236,"Rules of Attraction (Perfect Chemistry, #2)","86,618",4.18,Simone Elkeles,"2,937,",51
237,"Bed of Roses (Bride Quartet, #2)","61,527",4.12,Nora Roberts,"2,928,",37
238,Saving Grace,"27,388",4.26,Julie Garwood,"2,880,",40
239,"Beautiful Creatures (Caster Chronicles, #1)","582,290",3.77,Kami Garcia,"2,879,",35
240,"Welcome to Temptation (Dempseys, #1)","33,060",3.94,Jennifer Crusie,"2,871,",38
241,"Dark Prince (Dark, #1)","55,957",3.99,Christine Feehan,"2,867,",34
242,"Crash (Crash, #1)","60,457",3.97,Nicole  Williams,"2,859,",36
243,"Tempt Me at Twilight (The Hathaways, #3)","43,034",4.16,Lisa Kleypas,"2,840,",39
244,"Flat-Out Sexy (Fast Track, #1)","12,998",3.94,Erin McCarthy,"2,799,",33
245,"Dead Until Dark (Sookie Stackhouse, #1)","525,321",3.97,Charlaine Harris,"2,799,",35
246,Carolina Moon,"43,638",4.07,Nora Roberts,"2,792,",34
247,"Sea Swept (Chesapeake Bay Saga, #1)","59,815",4.23,Nora Roberts,"2,792,",47
248,The Night Circus,"879,588",4.03,Erin Morgenstern,"2,792,",34
249,Making Faces,"70,577",4.30,Amy Harmon,"2,786,",43
250,"Whitney, My Love (Westmoreland, #2)","34,968",4.13,Judith McNaught,"2,767,",36
251,"Unearthly (Unearthly, #1)","125,962",4.02,Cynthia Hand,"2,761,",37
252,Sophie & Carter,"13,692",3.82,Chelsea Fine,"2,753,",33
253,"Fury (New Species, #1)","30,996",4.11,Laurann Dohner,"2,750,",32
254,"Hearts in Darkness (Hearts in Darkness, #1)","36,927",3.85,Laura Kaye,"2,748,",36
255,Suddenly You,"27,614",3.94,Lisa Kleypas,"2,741,",38
256,"The Flame and the Flower (Birmingham, #1)","18,430",4.05,Kathleen E. Woodiwiss,"2,722,",34
257,"Sempre (Sempre, #1)","27,687",4.14,J.M. Darhower,"2,719,",33
258,The V Girl: a Coming of Age Story,avg,really,Mya Robarts,"2,690,",33
259,Angels Fall,"47,182",4.03,Nora Roberts,"2,674,",33
260,"Seduction and Snacks (Chocolate Lovers, #1)","52,325",4.07,Tara Sivec,"2,671,",36
261,"The Lion's Lady (Crown's Spies, #1)","23,260",4.17,Julie Garwood,"2,667,",41
262,"Married by Morning (The Hathaways, #4)","40,714",4.14,Lisa Kleypas,"2,637,",50
263,Tribute,avg,really,Nora Roberts,"2,619,",32
264,"Seduction of a Highland Lass (McCabe Trilogy, #2)","24,530",4.16,Maya Banks,"2,617,",34
265,"Tempting the Best Man (Gamble Brothers, #1)","33,765",3.69,J. Lynn,"2,616,",33
266,The Wall of Winnipeg and Me,"202,003",4.26,Mariana Zapata,"2,583,",41
267,"Lover Unleashed (Black Dagger Brotherhood, #9)","90,780",4.27,J.R. Ward,"2,574,",37
268,"Wicked Deeds on a Winter's Night (Immortals After Dark, #3)","53,830",4.34,Kresley Cole,"2,537,",35
269,"Ten Tiny Breaths (Ten Tiny Breaths, #1)","77,054",4.10,K.A. Tucker,"2,532,",49
270,"The Raven Prince (Princes Trilogy, #1)","22,604",3.96,Elizabeth Hoyt,"2,519,",34
271,Mansfield Park,"328,190",3.86,Jane Austen,"2,514,",30
272,"Because of Low (Sea Breeze, #2)","55,923",4.12,Abbi Glines,"2,485,",39
273,"When Beauty Tamed the Beast (Fairy Tales, #2)","27,708",4.06,Eloisa James,"2,482,",34
274,Fangirl,"710,729",3.97,Rainbow Rowell,"2,476,",35
275,"Maybe Someday (Maybe, #1)","362,729",4.11,Colleen Hoover,"2,468,",38
276,The Great Gatsby,"4,766,518",3.93,F. Scott Fitzgerald,"2,461,",38
277,A Rose in Winter,"11,464",4.18,Kathleen E. Woodiwiss,"2,460,",32
278,Eleanor & Park,"1,098,452",3.96,Rainbow Rowell,"2,442,",31
279,"Romero (The Moreno Brothers, #4)","7,308",4.12,Elizabeth Reyes,"2,434,",28
280,"Scandalous Desires (Maiden Lane, #3)","15,376",4.08,Elizabeth Hoyt,"2,432,",44
281,"Knight (Unfinished Hero, #1)","53,979",3.92,Kristen Ashley,"2,423,",32
282,"The Many Sins of Lord Cameron (MacKenzies & McBrides, #3)","15,492",4.09,Jennifer Ashley,"2,398,",39
283,"The Viscount Who Loved Me (Bridgertons, #2)","285,073",4.04,Julia Quinn,"2,395,",35
284,"Gone Too Far (Troubleshooters, #6)","9,670",4.31,Suzanne Brockmann,"2,380,",41
285,"Inescapable (The Premonition, #1)","37,499",4.03,Amy A. Bartol,"2,346,",28
286,"What I Did for Love (Wynette, Texas, #5)","19,012",3.91,Susan Elizabeth Phillips,"2,336,",47
287,The Grand Sophy,"31,166",4.16,Georgette Heyer,"2,324,",37
288,"Lucca (Made Men, #4)","9,010",4.30,Sarah Brianne,"2,233,",40
289,"Graceling (Graceling Realm, #1)","439,357",4.07,Kristin Cashore,"2,223,",28
290,"Collide (Collide, #1)","64,919",4.20,Gail McHugh,"2,198,",29
291,"Never Love a Highlander (McCabe Trilogy, #3)","26,186",4.21,Maya Banks,"2,162,",29
292,"Stray (Shifters, #1)","36,264",3.78,Rachel Vincent,"2,156,",27
293,Unwritten Rules,"2,818",3.66,M.A. Stacie,"2,144,",27
294,"Beyond the Highland Mist (Highlander, #1)","69,825",3.95,Karen Marie Moning,"2,142,",31
295,Carnal Innocence,"19,099",3.97,Nora Roberts,"2,137,",27
296,"Naked (The Blackstone Affair, #1)","73,610",4.01,Raine Miller,"2,116,",27
297,"Fancy Pants (Wynette, Texas, #1)","14,740",3.81,Susan Elizabeth Phillips,"2,113,",32
298,"Falling into You (Falling, #1)","53,271",4.02,Jasinda Wilder,"2,110,",27
299,"Play (Stage Dive, #2)","56,331",4.26,Kylie Scott,"2,097,",41
300,A Queen's Spy (The Tudor Mystery Trials #1),avg,really,Samantha Burnell,"2,094,",21
301,"Hidden Away (KGI, #3)","17,858",4.23,Maya Banks,"2,085,",26
302,"Providence (Providence, #1)","27,281",3.97,Jamie McGuire,"2,080,",28
303,"No Place to Run (KGI, #2)","21,577",4.27,Maya Banks,"2,073,",27
304,A Rather Unusual Romance,115,4.49,Stevie Turner,"2,070,",21
305,"The Villain (Boston Belles, #2)","41,861",4.25,L.J. Shen,"2,060,",29
306,"The Last Boyfriend (Inn BoonsBoro Trilogy, #2)","47,266",4.09,Nora Roberts,"2,040,",24
307,The Prize,"29,466",4.22,Julie Garwood,"2,021,",30
308,"Key of Knowledge (Key Trilogy, #2)","36,944",4.13,Nora Roberts,"2,011,",29
309,Birthday Girl,"189,282",3.99,Penelope Douglas,"2,010,",37
